subsystem,item,manufacturer_or_source,model_or_specification,quantity,release_status,notes
Leader arms,Smart servo,Feetech,STS3215,14,Verified,"Left IDs 1-7; right IDs 8-14"
Follower arms,Joint actuator,RobStride,O3,14,Verified,"Left IDs 1-7; right IDs 11-17"
Mobile base,Wheel motor,Damiao,DM4310,3,Verified,"Command IDs 0x21-0x23"
Mobile base,Omni wheel,Pending supplier,50 mm software radius,3,Partial,"Exact SKU width roller geometry and mounting pattern pending"
Lift,Lift motor,Damiao,DM4310,1,Verified,"Command ID 0x24"
Lift,Limit controller,DIYRobot,ESP32-compatible controller,1,Verified,"Exact board revision pending"
Lift,Optical limit sensor,Pending supplier,U-shaped top and bottom sensors,2,Partial,"Exact part number pending"
Vision,Right wrist camera,Logitech,C930e,1,Verified,"640 x 480 at 30 FPS release contract"
Vision,Left wrist camera,Logitech,C920,1,Verified,"640 x 480 at 30 FPS release contract"
Vision,Overhead camera,ARKMICRO,Exact model pending,1,Partial,"640 x 480 at 30 FPS release contract"
Control,Leader serial interface,Pending supplier,USB serial,1,Partial,"Target-specific stable device mapping required"
Control,Follower bus interface,Pending supplier,USB-to-CAN AT transport,2,Partial,"Active strict path uses separate left and right buses"
Control,Base and lift bus interface,Pending supplier,USB-to-CAN,1,Partial,"Classic CAN at 1 Mbit/s"
Mechanical,Follower-arm printed and machined parts,TRLC-DK1 and DIYRobot,RobStride-adapted derivative set,TBD,Pending,"Final assembly and redistribution package under review"
Mechanical,Mobile chassis parts,DIYRobot,Original three-omni-wheel base,TBD,Pending,"Approved chassis CAD and manufacturing BOM not present in audited files"
Mechanical,Lift structure,DIYRobot,Original lift integration,TBD,Pending,"Rail transmission stroke load and mounting specifications pending"
